Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz
Internal Standard,170410_Poo_April11AqExtractsHalf_2,Heavy Isotheonic Acid,6.22,11265538,0,338920,-8,Internal Standard,126.998113
Internal Standard,170410_Poo_April11AqExtractsHalf_3,Heavy Isotheonic Acid,6.12,10908434,0,339176,-8.1,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-125m_A,Heavy Isotheonic Acid,5.95,27830500,0,695685,-8.3,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-125m_B,Heavy Isotheonic Acid,6.2,16763812,0,527805,-7.3,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-125m_C,Heavy Isotheonic Acid,6.14,21268622,0,503636,-8.3,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-15m_A,Heavy Isotheonic Acid,6,28440756,0,707443,-8.5,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-15m_B,Heavy Isotheonic Acid,6.17,19171596,0,618423,-8.3,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-15m_C,Heavy Isotheonic Acid,6.18,19017064,0,625454,-7.7,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-45m_A,Heavy Isotheonic Acid,6.09,26777462,0,610258,-8.4,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-45m_B,Heavy Isotheonic Acid,6.18,16733787,0,495611,-7.8,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-45m_C,Heavy Isotheonic Acid,6.28,8395004,0,535551,-6.3,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-75m_A,Heavy Isotheonic Acid,6.28,29138168,0,712605,-8.6,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-75m_B,Heavy Isotheonic Acid,6.21,14924169,0,523942,-8,Internal Standard,126.998113
Internal Standard,170410_Smp_KM1513-75m_C,Heavy Isotheonic Acid,6.26,7571434,0,375756,-6.4,Internal Standard,126.998113
